"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14303318","JK385106","2026-08-24T00:00:00.000","053XX S WELLS ST","0460","BATTERY","SIMPLE","VACANT LOT / LAND","false","false","0935","009","20","37","08B","1175515","1869464","2026","2026-08-31T15:53:00.000","41.797182083","-87.63189373","
,  
(41.797182083, -87.63189373)"
"14304357","JK386469","2026-08-24T00:00:00.000","019XX W NORWOOD ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2413","024","40","2","06","1162163","1940319","2026","2026-08-31T15:53:00.000","41.991902411","-87.678875297","
,  
(41.991902411, -87.678875297)"
"14306554","JK389395","2026-08-24T00:00:00.000","034XX W SCHUBERT AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT","false","true","1412","014","35","22","26","1153039","1917747","2026","2026-08-31T15:53:00.000","41.930149791","-87.713037267","
,  
(41.930149791, -87.713037267)"
"14303341","JK385266","2026-08-24T00:00:00.000","049XX S DR MARTIN LUTHER KING JR DR","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0223","002","3","38","14","1179695","1872324","2026","2026-08-31T15:53:00.000","41.804935557","-87.616477798","
,  
(41.804935557, -87.616477798)"
"14303122","JK384883","2026-08-24T00:00:00.000","071XX S RHODES AVE","0498","BATTERY","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY","APARTMENT","true","true","0323","003","6","69","04B","1181139","1857892","2026","2026-08-31T15:53:00.000","41.765299634","-87.611626162","
,  
(41.765299634, -87.611626162)"
"14305076","JK387440","2026-08-24T00:00:00.000","070XX S MERRILL AVE","0281","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE","false","false","0331","003","5","43","02","1191766","1858552","2026","2026-08-31T15:53:00.000","41.766859444","-87.572654154","
,  
(41.766859444, -87.572654154)"
"14304957","JK387410","2026-08-24T00:00:00.000","053XX S KENNETH AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0815","008","23","62","06","1147610","1868593","2026","2026-08-31T15:53:00.000","41.795371191","-87.734248107","
,  
(41.795371191, -87.734248107)"
"14303261","JK385164","2026-08-24T00:00:00.000","010XX N WINCHESTER AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1212","012","1","24","14","1163214","1906947","2026","2026-08-31T15:53:00.000","41.900305772","-87.675950865","
,  
(41.900305772, -87.675950865)"
"14304662","JK386807","2026-08-24T00:00:00.000","011XX N LAMON AVE","0810","THEFT","OVER $500","DAY CARE CENTER","false","false","1531","015","37","25","06","1143485","1907310","2026","2026-08-31T15:53:00.000","41.901693867","-87.748407778","
,  
(41.901693867, -87.748407778)"
"14303416","JK385124","2026-08-24T00:00:00.000","005XX E 33RD PL","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0211","002","4","35","06","1180698","1882808","2026","2026-08-31T15:53:00.000","41.83368145","-87.612476684","
,  
(41.83368145, -87.612476684)"
"14304322","JK385318","2026-08-24T00:00:00.000","017XX W GARFIELD BLVD","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0932","009","16","61","06","1165762","1868222","2026","2026-08-31T15:53:00.000","41.793986705","-87.667694471","
,  
(41.793986705, -87.667694471)"
"14304286","JK386384","2026-08-24T00:00:00.000","022XX E 103RD ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0434","004","7","51","14","1192874","1837123","2026","2026-08-31T15:53:00.000","41.708029389","-87.569290282","
,  
(41.708029389, -87.569290282)"
"14307940","JK391045","2026-08-24T00:00:00.000","100XX S OGLESBY AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0431","004","7","51","14","1193816","1838801","2026","2026-08-31T15:53:00.000","41.712611002","-87.565785921","
,  
(41.712611002, -87.565785921)"
