SL,53 Metropolitan Cities,2023 - Cases Reported Under 156_3 during the year,2023 - Cases Reported in Police Stations during the year,2023 - Cases Reported during the year
1,Agra,0,1030,1030
2,Ahmedabad,1,1359,1360
3,Amritsar,0,306,306
4,Asansol,400,295,695
5,Aurangabad,3,974,977
6,Bengaluru,68,4802,4870
7,Bhopal,0,1886,1886
8,Chandigarh City,2,369,371
9,Chennai,16,729,745
10,Coimbatore,4,240,244
11,Delhi City,49,13317,13366
12,Dhanbad,0,302,302
13,Durg-Bhilainagar,0,504,504
14,Faridabad,2,1422,1424
15,Ghaziabad,5,899,904
16,Gwalior,1,1158,1159
17,Hyderabad,17,3805,3822
18,Indore,0,1919,1919
19,Jabalpur,0,809,809
20,Jaipur,1367,2505,3872
21,Jamshedpur,60,206,266
22,Jodhpur,121,1183,1304
23,Kannur,38,407,445
24,Kanpur,26,2045,2071
25,Kochi,23,760,783
26,Kolkata,2,1744,1746
27,Kollam,30,677,707
28,Kota,134,892,1026
29,Kozhikode,17,610,627
30,Lucknow,23,2879,2902
31,Ludhiana,0,441,441
32,Madurai,11,249,260
33,Malappuram,8,402,410
34,Meerut,0,589,589
35,Mumbai,7,6018,6025
36,Nagpur,1,1555,1556
37,Nasik,3,699,702
38,Patna,62,1100,1162
39,Prayagraj,5,584,589
40,Pune,0,2550,2550
41,Raipur,0,706,706
42,Rajkot,0,381,381
43,Ranchi,0,364,364
44,Srinagar,6,393,399
45,Surat,0,869,869
46,Thiruvananthapuram,7,753,760
47,Thrissur,34,826,860
48,Tiruchirapalli,0,119,119
49,Vadodara,0,300,300
50,Varanasi,0,680,680
51,Vasai Virar,5,1186,1191
52,Vijayawada,12,2209,2221
53,Vishakhapatnam,4,993,997
,TOTAL CITIES,2574,73999,76573
