SNo,53 Metropolitan Cities,Opium Based Drugs - Drugs Seized/Recovered - in KGs,Opium Based Drugs - Drugs Seized/Recovered - In Numbers,Opium Based Drugs - Drugs Seized/Recovered - In Litre,Opium - Drugs Seized/Recovered - in KGs,Opium - Drugs Seized/Recovered - In Numbers,Opium - Drugs Seized/Recovered - In Litre,Morphine (In Kg) - Drugs Seized/Recovered - in KGs,Morphine (In Kg) - Drugs Seized/Recovered - In Numbers,Morphine (In Kg) - Drugs Seized/Recovered - In Litre,Heroin(In Kg) - Drugs Seized/Recovered - in KGs,Heroin(In Kg) - Drugs Seized/Recovered - In Numbers,Heroin(In Kg) - Drugs Seized/Recovered - In Litre,Poppy Husk - Drugs Seized/Recovered - in KGs,Poppy Husk - Drugs Seized/Recovered - In Numbers,Poppy Husk - Drugs Seized/Recovered - In Litre,Canabis Based Drugs - Drugs Seized/Recovered - in KGs,Canabis Based Drugs - Drugs Seized/Recovered - In Numbers,Canabis Based Drugs - Drugs Seized/Recovered - In Litre,Ganja(In Kg) - Drugs Seized/Recovered - in KGs,Ganja(In Kg) - Drugs Seized/Recovered - In Numbers,Ganja(In Kg) - Drugs Seized/Recovered - In Litre,Hashish - Drugs Seized/Recovered - in KGs,Hashish - Drugs Seized/Recovered - In Numbers,Hashish - Drugs Seized/Recovered - In Litre,Charas - Drugs Seized/Recovered - in KGs,Charas - Drugs Seized/Recovered - In Numbers,Charas - Drugs Seized/Recovered - In Litre,Cocaine(In Kg) - Drugs Seized/Recovered - in KGs,Cocaine(In Kg) - Drugs Seized/Recovered - In Numbers,Cocaine(In Kg) - Drugs Seized/Recovered - In Litre,Psychotropic Substances - Drugs Seized/Recovered - in KGs,Psychotropic Substances - Drugs Seized/Recovered - In Numbers,Psychotropic Substances - Drugs Seized/Recovered - In Litre,Methaqualone(In Kg) - Drugs Seized/Recovered - in KGs,Methaqualone(In Kg) - Drugs Seized/Recovered - In Numbers,Methaqualone(In Kg) - Drugs Seized/Recovered - In Litre,Ephedrine/Psuedo Ephedrine - Drugs Seized/Recovered - in KGs,Ephedrine/Psuedo Ephedrine - Drugs Seized/Recovered - In Numbers,Ephedrine/Psuedo Ephedrine - Drugs Seized/Recovered - In Litre,L.S.D.(in KG) - Drugs Seized/Recovered - in KGs,L.S.D.(in KG) - Drugs Seized/Recovered - In Numbers,L.S.D.(in KG) - Drugs Seized/Recovered - In Litre,Amphetamine/Methamphetamine - Drugs Seized/Recovered - in KGs,Amphetamine/Methamphetamine - Drugs Seized/Recovered - In Numbers,Amphetamine/Methamphetamine - Drugs Seized/Recovered - In Litre,Ketamine - Drugs Seized/Recovered - in KGs,Ketamine - Drugs Seized/Recovered - In Numbers,Ketamine - Drugs Seized/Recovered - In Litre,ATS - Drugs Seized/Recovered - in KGs,ATS - Drugs Seized/Recovered - In Numbers,ATS - Drugs Seized/Recovered - In Litre,Medicinal Preparations - Drugs Seized/Recovered - in KGs,Medicinal Preparations - Drugs Seized/Recovered - In Numbers,Medicinal Preparations - Drugs Seized/Recovered - In Litre,Phensidyl/Cough Syrup - Drugs Seized/Recovered - in KGs,Phensidyl/Cough Syrup - Drugs Seized/Recovered - In Numbers,Phensidyl/Cough Syrup - Drugs Seized/Recovered - In Litre,Injection Vials - Drugs Seized/Recovered - in KGs,Injection Vials - Drugs Seized/Recovered - In Numbers,Injection Vials - Drugs Seized/Recovered - In Litre,Pills/Capsules - Drugs Seized/Recovered - in KGs,Pills/Capsules - Drugs Seized/Recovered - In Numbers,Pills/Capsules - Drugs Seized/Recovered - In Litre,Other Medicinal Preparations - Drugs Seized/Recovered - in KGs,Other Medicinal Preparations - Drugs Seized/Recovered - In Numbers,Other Medicinal Preparations - Drugs Seized/Recovered - In Litre,Drug Precursor - Acetic Anhydride - Drugs Seized/Recovered - in KGs,Drug Precursor - Acetic Anhydride - Drugs Seized/Recovered - In Numbers,Drug Precursor - Acetic Anhydride - Drugs Seized/Recovered - In Litre,Other Drugs - Drugs Seized/Recovered - in KGs,Other Drugs - Drugs Seized/Recovered - In Numbers,Other Drugs - Drugs Seized/Recovered - In Litre,Total - Drugs Seized/Recovered - in KGs,Total - Drugs Seized/Recovered - In Numbers,Total - Drugs Seized/Recovered - In Litre
1,Agra,1.4,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,962.375,0,0,960.5,0,0,0,0,0,1.875,0,0,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734,0,0,1624.5,0,0,0,0,0,0,0,0,0,0,0,1624.5,0,0,0,0,0,0,0,0,4322.275,0,0
2,Ahmedabad,6.004,0,0,5.951,0,0,0,0,0,0.053,0,0,0,0,0,181.979,0,0,180.093,0,0,0,0,0,1.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30315,164,0,0,164,0,0,0,0,30315,0,0,0,0,0,0,0,6.223,0,0,194.206,30315,164
3,Amritsar,82.381,0,0,8.644,0,0,0,0,0,53.737,0,0,20,0,0,0.934,0,0,0.625,0,0,0,0,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.019,1968692,0,0,0,0,0,45925,0,0,1922767,0,2.019,0,0,0,0,0,0,0,0,85.334,1968692,0
4,Asansol,101.221,0,0,0,0,0,100.41,0,0,0.811,0,0,0,0,0,261.26,0,0,261.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,3400,0,0,0,0,0,0,0,0,0,110.73,0,0,0,0,0,473.211,0,3400
5,Aurangabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.961,0,0,146.652,0,0,0,0,0,0.309,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,2388,164.8,0,0,164.8,0,0,0,0,2388,0,0,0,0,0,0,0,0,0,0,146.971,2388,164.8
6,Bengaluru,63.366,0,0,63.147,0,0,0,0,0,0.219,0,0,0,0,0,5264.692,0,0,5252.444,0,0,11.339,0,0,0.909,0,0,2.532,0,0,57.194,0,0,1.966,0,0,0,0,0,0,0,0,55.228,0,0,0,0,0,0,0,0,0,3777,0,0,0,0,0,0,0,0,3777,0,0,0,0,0,0,0,0.061,870,0,5387.845,4647,0
7,Bhopal,9.985,0,0,0,0,0,0,0,0,9.985,0,0,0,0,0,248.267,0,0,225.914,0,0,0,0,0,22.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,258.252,25,0
8,Chandigarh City,231.868,0,0,1.078,0,0,0,0,0,3.719,0,0,227.071,0,0,58.002,0,0,46.604,0,0,0,0,0,11.398,0,0,0.005,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,958,1,0,0,1,0,38,0,0,920,0,0,0,0,0,0,0,0,0,0,290.095,958,1
9,Chennai,0.278,0,0,0.275,0,0,0,0,0,0.003,0,0,0,0,0,2761.842,0,0,2739.117,0,0,2.225,0,0,20.5,0,0,0,0,0,119.021,0,0,5.93,0,0,100.017,0,0,0.007,0,0,13.067,0,0,0,0,0,0,0,0,0,19826,0,0,0,0,0,38,0,0,19788,0,0,0,0,0,0,0,121.073,0,0.402,3002.214,19826,0.402
10,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.439,0,0,207.439,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.542,0,0
11,Delhi City,858.46,0,0,381.321,0,0,65.5,0,0,65.267,0,0,346.372,0,0,3559.829,0,0,3481.929,0,0,0.53,0,0,77.37,0,0,15.318,0,0,30.371,0,0,6.082,0,0,20.51,0,0,0,0,0,3.779,0,0,0,0,0,0,0,0,2.212,519756,4070.72,0,0,4070.72,0,2223,0,0,517533,0,2.212,0,0,0,0,0,0.054,0,0,4466.244,519756,4070.72
12,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0
13,Durg-Bhilainagar,0.152,0,0,0,0,0,0,0,0,0.152,0,0,0,0,0,298.146,0,0,298.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247962,0,0,0,0,0,0,0,0,1238124,0,0,9838,0,0,0,0,0.223,0,0,298.521,1247962,0
14,Faridabad,2.087,0,0,0.984,0,0,0,0,0,1.103,0,0,0,0,0,567.843,0,0,566.129,0,0,0,0,0,1.714,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,14,0,0,14,0,502,0,0,1254,0,0,0,0,0,0,0,1.427,0,0,571.405,1756,14
15,Ghaziabad,17.51,0,0,16.72,0,0,0,0,0,0.79,0,0,0,0,0,721.725,0,0,721.595,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40313,0,0,0,0,0,0,0,0,40313,0,0,0,0,0,0,0,56.09,0,0,795.325,40313,0
16,Gwalior,1.198,0,0,0,0,0,0,0,0,1.198,0,0,0,0,0,656.872,0,0,656.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,0,0,724.67,0,0
17,Hyderabad,1.444,0,0,1.4,0,0,0,0,0,0.044,0,0,0,0,0,1779.981,0,0,1777.672,0,0,2.219,0,0,0.09,0,0,14.28,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.993,1965,0,0,0,0,0,0,0,0,1965,0,21.993,0,0,0,0,0,0,6,0,1817.718,1971,0
18,Indore,7.248,0,0,0.39,0,0,0,0,0,0.058,0,0,6.8,0,0,82.443,0,0,77.759,0,0,0,0,0,4.684,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6580,0,0,0,0,0,150,0,0,6430,0,0,0,0,0,0,0,3.093,0,0,92.79,6580,0
19,Jabalpur,0.228,0,0,0,0,0,0,0,0,0.228,0,0,0,0,0,1536,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12764,0,0,0,0,0,12764,0,0,0,0,0,0,0,0,0,0,0,0,0,1536.228,12764,0
20,Jaipur,3264.368,0,0,9.81,0,0,0,0,0,3.095,0,0,3251.463,0,0,415.317,0,0,414.222,0,0,0,0,0,1.095,0,0,0.063,0,0,0.131,0,0,0.004,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,6400,94,0,0,94,0,0,0,0,6400,0,0,0,0,0,0,0,0.14,0,0,3680.019,6400,94
21,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6,0,0,107.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6,0,0
22,Jodhpur,15370.946,0,0,27.186,0,0,0,0,0,0.147,0,0,15343.613,0,0,858.414,0,0,858.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.496,6180,0,0,0,0,0,0,0,0,6180,0,1.496,0,0,0,0,0,0.251,75,0,16231.107,6255,0
