S. No,53 Metropolitan Cities,Theft - No. of cases in which property was stolen,Theft - Value of Property Stolen (in Crores),Theft - Number of cases in which property was recovered - Out of Cases from Previous Years,Theft - Number of cases in which property was recovered - From Cases Reported during the Year,Theft - Number of cases in which property was recovered - Total Cases,Theft - Value of Property Recovered - Total Cases,Burglary - No. of cases in which property was stolen - Total Cases,Burglary - Value of Property Stolen (in Crores) - Total Cases,Burglary - Number of cases in which property was recovered - Out of Cases from Previous Years,Burglary - Number of cases in which property was recovered - From Cases Reported during the Year,Burglary - Number of cases in which property was recovered - Total Cases,Burglary - Value of Property Recovered - Total Cases,Robbery - No. of cases in which property was stolen - Total Cases,Robbery - Value of Property Stolen (in Crores) - Total Cases,Robbery - Number of cases in which property was recovered - Out of Cases from Previous Years,Robbery - Number of cases in which property was recovered - From Cases Reported during the Year,Robbery - Number of cases in which property was recovered - Total Cases,Robbery - Value of Property Recovered - Total Cases,Dacoity - No. of cases in which property was stolen - Total Cases,Dacoity - Value of Property Stolen (in Crores) - Total Cases,Dacoity - Number of cases in which property was recovered - Out of Cases from Previous Years,Dacoity - Number of cases in which property was recovered - From Cases Reported during the Year,Dacoity - Number of cases in which property was recovered - Total Cases,Dacoity - Value of Property Recovered - Total Cases,Other Offences not included above - No. of cases in which property was stolen - Total Cases,Other Offences not included above - Value of Property Stolen (in Crores) - Total Cases,Other Offences not included above - Number of cases in which property was recovered - Out of Cases from Previous Years,Other Offences not included above - Number of cases in which property was recovered - From Cases Reported during the Year,Other Offences not included above - Number of cases in which property was recovered - Total Cases,Other Offences not included above - Value of Property Recovered - Total Cases,Total - No. of cases in which property was stolen - Total Cases,Total - Value of Property Stolen (in Crores) - Total Cases,Total - Number of cases in which property was recovered - Out of Cases from Previous Years,Total - Number of cases in which property was recovered - From Cases Reported during the Year,Total - Number of cases in which property was recovered - Total Cases,Total - Value of Property Recovered - Total Cases
1,Agra,1124,0.2812717,12,239,251,0.5146367,134,1.6935157,16,61,77,0.5759866,26,0.3426035,11,17,28,0.2064535,1,0.025,0,1,1,0.025,0,0,0,0,0,0,1285,2.3423909,39,318,357,1.3220768
2,Ahmedabad,5008,27.2255508,103,1607,1710,9.3223936,463,11.0142152,16,258,274,3.0939689,132,2.6038325,7,121,128,1.0273385,12,0.06602,0,11,11,0.0113,0,0,0,0,0,0,5615,40.9096185,126,1997,2123,13.455001
3,Amritsar,988,5.9514568,28,303,331,2.703928,223,1.6965002,4,80,84,0.520227,2,0.2248138,0,2,2,0.2248138,1,0.165,0,1,1,0,0,0,0,0,0,0,1214,8.0377708,32,386,418,3.4489688
4,Asansol,337,3.0411865,83,246,329,2.8224191,2,0.01434,0,2,2,0.0062,6,0.1239025,1,4,5,0.0449575,1,0.25,1,0,1,0.25,16,0.006,0,16,16,0.006,362,3.435429,85,268,353,3.1295766
5,Aurangabad,1525,13.0655954,88,499,587,3.7905479,142,1.9262369,3,50,53,0.4859234,191,1.2349473,14,143,157,0.5050132,12,0.1171,0,10,10,0.057742,0,0,0,0,0,0,1870,16.3438796,105,702,807,4.8392265
6,Bengaluru,10438,126.0288029,76,2923,2999,56.3319731,1142,41.3191517,19,408,427,14.3136737,790,11.3937555,8,611,619,7.5502863,37,2.5261514,0,36,36,1.4035944,18,0.82037,0,10,10,0.37497,12425,182.0882315,103,3988,4091,79.9744975
7,Bhopal,2203,8.5996049,52,661,713,4.1783511,542,3.0249046,16,172,188,2.0415455,68,0.441941,0,62,62,0.377327,1,0.0013,0,1,1,0.00058,0,0,0,0,0,0,2814,12.0677505,68,896,964,6.5978036
8,Chandigarh City,1412,4.8747887,53,496,549,3.2414124,89,3.4423374,2,54,56,1.7914199,17,0.403644,0,17,17,0.042304,3,0.00252,0,3,3,0.00252,150,0.351406,8,123,131,0.266719,1671,9.0746961,63,693,756,5.3443753
9,Chennai,3333,11.9041544,126,1231,1357,4.9900954,368,7.1093627,39,131,170,4.2488825,326,1.4479959,23,221,244,0.902864,17,3.60648,0,14,14,2.55383,3,0.0531326,0,2,2,0.0375276,4047,24.1211256,188,1599,1787,12.7331995
10,Coimbatore,1149,7.2404742,0,526,526,4.370005,190,5.6368339,0,87,87,3.6535239,77,1.5988239,0,71,71,1.5412039,3,0.0015,0,3,3,0.0015,0,0,0,0,0,0,1419,14.477632,0,687,687,9.5662328
