id,city,latitude,longitude,crime_type,threat_level,date
HOT-00001,Pune,18.544342,73.865431,cybercrime,medium,2025-05-10
HOT-00002,Bengaluru,13.012625,77.507802,drug_trafficking,high,2024-09-23
HOT-00003,Jaipur,26.956335,75.733724,cybercrime,medium,2024-05-29
HOT-00004,Mumbai,19.11279,72.962437,extortion,medium,2024-09-03
HOT-00005,Bengaluru,12.894255,77.588994,dacoity,high,2025-05-02
HOT-00006,Jaipur,26.89393,75.859168,crime_against_women,high,2025-05-19
HOT-00007,Hyderabad,17.360374,78.443401,rioting,medium,2024-04-19
HOT-00008,Jaipur,26.86682,75.813528,theft,low,2024-10-17
HOT-00009,Jaipur,26.948579,75.821328,crime_against_women,high,2024-11-06
HOT-00010,Mumbai,19.011237,72.79409,crime_against_women,high,2025-03-31
HOT-00011,Mumbai,19.115215,72.852154,robbery,high,2025-04-24
HOT-00012,Jaipur,26.888596,75.926772,kidnapping,high,2025-05-27
HOT-00013,Chennai,13.037165,80.334349,cybercrime,medium,2025-06-09
HOT-00014,Delhi,28.717188,77.127987,extortion,medium,2025-07-30
HOT-00015,Hyderabad,17.289279,78.51161,robbery,high,2024-10-12
HOT-00016,Kolkata,22.589264,88.355208,extortion,medium,2025-05-10
HOT-00017,Pune,18.586748,73.840795,robbery,high,2025-08-12
HOT-00018,Kolkata,22.603011,88.396049,crime_against_women,high,2024-12-22
HOT-00019,Pune,18.531554,73.861742,rioting,medium,2024-06-11
HOT-00020,Chennai,13.102168,80.284208,extortion,medium,2025-05-02
HOT-00021,Hyderabad,17.393778,78.345893,rioting,medium,2024-08-30
HOT-00022,Delhi,28.729088,77.084296,cybercrime,medium,2025-03-06
HOT-00023,Delhi,28.739231,77.116904,theft,low,2024-03-15
HOT-00024,Jaipur,26.918122,75.719248,theft,low,2024-06-27
HOT-00025,Hyderabad,17.427602,78.520902,robbery,high,2025-08-10
HOT-00026,Chennai,13.102139,80.325469,extortion,medium,2024-10-19
HOT-00027,Chennai,13.091677,80.299049,drug_trafficking,high,2024-07-15
HOT-00028,Delhi,28.642843,77.067759,extortion,medium,2024-04-08
HOT-00029,Chennai,13.109623,80.276406,theft,low,2025-01-03
HOT-00030,Pune,18.429496,73.815107,kidnapping,high,2024-07-08
HOT-00031,Jaipur,26.924925,75.819014,cheating_fraud,medium,2025-05-27
HOT-00032,Hyderabad,17.318483,78.57082,robbery,high,2024-03-09
HOT-00033,Jaipur,26.868782,75.808664,burglary,medium,2025-08-05
HOT-00034,Delhi,28.746177,77.145752,burglary,medium,2024-04-30
HOT-00035,Jaipur,26.920658,75.854619,kidnapping,high,2024-01-24
HOT-00036,Chennai,13.100627,80.233413,murder,critical,2025-02-03
